First Name,Last Name,Student ID,Email,Access Groups,lastUpdated
Test,User1,107605,test.user1@example.com,High School;Elementary School,2025-02-01T15:33:39
Test,User2,130460,test.user2@example.com,,2025-02-01T03:33:39
Test,User3,566960,test.user3@example.com,Elementary School;High School;Middle School,2025-02-01T03:33:39
Test,User4,230943,test.user4@example.com,Elementary School;High School;Middle School,2025-02-01T03:33:39
Test,User5,563855,test.user5@example.com,Elementary School;High School;Middle School,2025-02-01T03:33:39
Test,User6,281499,test.user6@example.com,,2025-02-01T03:33:39
Test,User7,916864,test.user7@example.com,High School;Middle School;Elementary School,2025-02-01T03:33:39
Test,User8,672748,test.user8@example.com,Elementary School,2025-02-01T03:33:39
Test,User9,778258,test.user9@example.com,Elementary School;High School;Middle School,2025-02-01T03:33:39
Test,User10,329172,test.user10@example.com,High School;Middle School,2025-02-01T03:33:39
Test,User11,868039,test.user11@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User12,189040,test.user12@example.com,Elementary School;Middle School;High School,2025-02-01T03:33:39
Test,User13,569420,test.user13@example.com,Middle School,2025-02-01T03:33:39
Test,User14,617460,test.user14@example.com,,2025-02-01T03:33:39
Test,User15,996518,test.user15@example.com,,2025-02-01T03:33:39
Test,User16,999229,test.user16@example.com,Elementary School,2025-02-01T03:33:39
Test,User17,811009,test.user17@example.com,High School;Elementary School,2025-02-01T03:33:39
Test,User18,788471,test.user18@example.com,Elementary School;High School,2025-02-01T03:33:39
Test,User19,101086,test.user19@example.com,Elementary School;Middle School,2025-02-01T03:33:39
Test,User20,793726,test.user20@example.com,High School;Middle School,2025-02-01T03:33:39
Test,User21,263809,test.user21@example.com,Middle School,2025-02-01T03:33:39
Test,User22,342406,test.user22@example.com,Middle School;Elementary School,2025-02-01T03:33:39
Test,User23,358962,test.user23@example.com,Middle School;High School;Elementary School,2025-02-01T03:33:39
Test,User24,211640,test.user24@example.com,Middle School;High School;Elementary School,2025-02-01T03:33:39
Test,User25,604325,test.user25@example.com,Elementary School,2025-02-01T03:33:39
Test,User26,177164,test.user26@example.com,High School;Elementary School,2025-02-01T03:33:39
Test,User27,958253,test.user27@example.com,Middle School,2025-02-01T03:33:39
Test,User28,412177,test.user28@example.com,,2025-02-01T03:33:39
Test,User29,216286,test.user29@example.com,Middle School,2025-02-01T03:33:39
Test,User30,948412,test.user30@example.com,Elementary School;Middle School;High School,2025-02-01T03:33:39
Test,User31,391591,test.user31@example.com,,2025-02-01T03:33:39
Test,User32,495422,test.user32@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User33,803002,test.user33@example.com,,2025-02-01T03:33:39
Test,User34,329682,test.user34@example.com,,2025-02-01T03:33:39
Test,User35,751926,test.user35@example.com,Middle School;Elementary School;High School,2025-02-01T03:33:39
Test,User36,421200,test.user36@example.com,Elementary School;Middle School;High School,2025-02-01T03:33:39
Test,User37,458082,test.user37@example.com,High School;Elementary School,2025-02-01T03:33:39
Test,User38,797833,test.user38@example.com,Middle School;High School,2025-02-01T03:33:39
Test,User39,984833,test.user39@example.com,Elementary School;Middle School;High School,2025-02-01T03:33:39
Test,User40,766845,test.user40@example.com,Middle School;High School,2025-02-01T03:33:39
Test,User41,945436,test.user41@example.com,,2025-02-01T03:33:39
Test,User42,719299,test.user42@example.com,Middle School;High School;Elementary School,2025-02-01T03:33:39
Test,User43,230038,test.user43@example.com,Elementary School;High School;Middle School,2025-02-01T03:33:39
Test,User44,347231,test.user44@example.com,Middle School;High School,2025-02-01T03:33:39
Test,User45,482606,test.user45@example.com,Elementary School;High School,2025-02-01T03:33:39
Test,User46,491820,test.user46@example.com,High School;Middle School;Elementary School,2025-02-01T03:33:39
Test,User47,235031,test.user47@example.com,Elementary School;High School;Middle School,2025-02-01T03:33:39
Test,User48,796638,test.user48@example.com,Elementary School;High School;Middle School,2025-02-01T03:33:39
Test,User49,929375,test.user49@example.com,Middle School,2025-02-01T03:33:39
Test,User50,215255,test.user50@example.com,High School;Middle School,2025-02-01T03:33:39
Test,User51,911503,test.user51@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User52,290997,test.user52@example.com,,2025-02-01T03:33:39
Test,User53,951135,test.user53@example.com,Elementary School,2025-02-01T03:33:39
Test,User54,661792,test.user54@example.com,High School,2025-02-01T03:33:39
Test,User55,726728,test.user55@example.com,Elementary School;High School;Middle School,2025-02-01T03:33:39
Test,User56,952447,test.user56@example.com,,2025-02-01T03:33:39
Test,User57,683966,test.user57@example.com,,2025-02-01T03:33:39
Test,User58,384121,test.user58@example.com,Middle School,2025-02-01T03:33:39
Test,User59,643816,test.user59@example.com,Middle School,2025-02-01T03:33:39
Test,User60,838010,test.user60@example.com,Middle School;High School;Elementary School,2025-02-01T03:33:39
Test,User61,462251,test.user61@example.com,,2025-02-01T03:33:39
Test,User62,855367,test.user62@example.com,,2025-02-01T03:33:39
Test,User63,696983,test.user63@example.com,Elementary School;High School,2025-02-01T03:33:39
Test,User64,865955,test.user64@example.com,Middle School,2025-02-01T03:33:39
Test,User65,212457,test.user65@example.com,High School,2025-02-01T03:33:39
Test,User66,861461,test.user66@example.com,Elementary School;Middle School;High School,2025-02-01T03:33:39
Test,User67,586874,test.user67@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User68,681526,test.user68@example.com,Middle School;High School,2025-02-01T03:33:39
Test,User69,862882,test.user69@example.com,Middle School,2025-02-01T03:33:39
Test,User70,892073,test.user70@example.com,Middle School,2025-02-01T03:33:39
Test,User71,876885,test.user71@example.com,High School;Middle School,2025-02-01T03:33:39
Test,User72,234863,test.user72@example.com,,2025-02-01T03:33:39
Test,User73,456981,test.user73@example.com,Middle School,2025-02-01T03:33:39
Test,User74,679635,test.user74@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User75,611346,test.user75@example.com,,2025-02-01T03:33:39
Test,User76,492814,test.user76@example.com,,2025-02-01T03:33:39
Test,User77,717070,test.user77@example.com,High School;Middle School;Elementary School,2025-02-01T03:33:39
Test,User78,543755,test.user78@example.com,Middle School;High School,2025-02-01T03:33:39
Test,User79,964555,test.user79@example.com,Elementary School,2025-02-01T03:33:39
Test,User80,356644,test.user80@example.com,,2025-02-01T03:33:39
Test,User81,754506,test.user81@example.com,High School;Middle School,2025-02-01T03:33:39
Test,User82,859041,test.user82@example.com,Elementary School,2025-02-01T03:33:39
Test,User83,794154,test.user83@example.com,Elementary School;High School,2025-02-01T03:33:39
Test,User84,535411,test.user84@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User85,619303,test.user85@example.com,Middle School;High School;Elementary School,2025-02-01T03:33:39
Test,User86,104405,test.user86@example.com,High School,2025-02-01T03:33:39
Test,User87,903052,test.user87@example.com,Middle School,2025-02-01T03:33:39
Test,User88,254270,test.user88@example.com,Elementary School;Middle School;High School,2025-02-01T03:33:39
Test,User89,268854,test.user89@example.com,High School,2025-02-01T03:33:39
Test,User90,433682,test.user90@example.com,Middle School,2025-02-01T03:33:39
Test,User91,272068,test.user91@example.com,Middle School;High School;Elementary School,2025-02-01T03:33:39
Test,User92,415883,test.user92@example.com,,2025-02-01T03:33:39
Test,User93,826872,test.user93@example.com,Elementary School;Middle School;High School,2025-02-01T03:33:39
Test,User94,128513,test.user94@example.com,,2025-02-01T03:33:39
Test,User95,947734,test.user95@example.com,,2025-02-01T03:33:39
Test,User96,902509,test.user96@example.com,,2025-02-01T03:33:39
Test,User97,305862,test.user97@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User98,195265,test.user98@example.com,,2025-02-01T03:33:39
Test,User99,164166,test.user99@example.com,Elementary School,2025-02-01T03:33:39
Test,User100,935006,test.user100@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User101,896382,test.user101@example.com,High School;Middle School,2025-02-01T03:33:39
Test,User102,387591,test.user102@example.com,,2025-02-01T03:33:39
Test,User103,287723,test.user103@example.com,High School,2025-02-01T03:33:39
Test,User104,772999,test.user104@example.com,High School;Middle School;Elementary School,2025-02-01T03:33:39
Test,User105,471184,test.user105@example.com,,2025-02-01T03:33:39
Test,User106,946022,test.user106@example.com,High School;Middle School;Elementary School,2025-02-01T03:33:39
Test,User107,506202,test.user107@example.com,High School;Elementary School;Middle School,2025-02-01T03:33:39
Test,User108,950439,test.user108@example.com,Elementary School;Middle School,2025-02-01T03:33:39
Test,User109,678911,test.user109@example.com,,2025-02-01T03:33:39
Test,User110,919875,test.user110@example.com,,2025-02-01T03:33:39
Test,User111,511495,test.user111@example.com,,2025-02-01T03:33:39
Test,User112,182270,test.user112@example.com,High School;Middle School,2025-02-01T03:33:39
Test,User113,701090,test.user113@example.com,Middle School;Elementary School,2025-02-01T03:33:39
Test,User114,278002,test.user114@example.com,High School;Middle School;Elementary School,2025-02-01T03:33:39
Test,User115,658207,test.user115@example.com,,2025-02-01T03:33:39
Test,User116,705633,test.user116@example.com,Middle School;Elementary School;High School,2025-02-01T03:33:39
Test,User117,101596,test.user117@example.com,High School;Middle School;Elementary School,2025-02-01T03:33:39
Test,User118,849133,test.user118@example.com,,2025-02-01T03:33:39
Test,User119,362601,test.user119@example.com,,2025-02-01T03:33:39
